h Machine_processed_jobs time_of_job_in_machine time_black_box job_class machine_time job_id machine_id
0.25 0.0 23 23 1 121 7 2
0.25 0.0 59 59 1 180 7 3
0.25 0.0 41 41 1 221 7 4
0.25 0.05 32 32 1 70 16 0
0.25 0.05 21 21 1 119 16 1
0.25 0.05 26 26 1 147 16 2
0.25 0.05 54 54 1 234 16 3
0.25 0.05 58 58 1 292 16 4
0.25 0.1 77 77 2 147 15 0
0.25 0.1 14 14 2 161 15 1
0.25 0.1 47 47 2 208 15 2
0.25 0.1 40 40 2 274 15 3
0.25 0.1 87 87 2 379 15 4
0.25 0.15 27 27 1 174 8 0
0.25 0.15 5 5 1 179 8 1
0.25 0.15 57 57 1 265 8 2
0.25 0.15 49 49 1 323 8 3
0.25 0.15 69 69 1 448 8 4
0.25 0.2 68 68.34 3 242.34 18 0
0.25 0.2 5 5.025 3 247.365 18 1
0.25 0.2 77 77.385 3 342.385 18 2
0.25 0.2 51 51.255 3 393.64 18 3
0.25 0.2 68 68.34 3 516.34 18 4
0.25 0.25 15 15 1 257.34000000000003 2 0
0.25 0.25 11 11 1 268.34000000000003 2 1
0.25 0.25 49 49 1 391.385 2 2
0.25 0.25 31 31 1 424.64 2 3
0.25 0.25 20 20 1 536.34 2 4
0.25 0.3 12 12 1 269.34000000000003 14 0
0.25 0.3 47 47 1 316.34000000000003 14 1
0.25 0.3 63 63 1 454.385 14 2
0.25 0.3 56 56 1 510.385 14 3
0.25 0.3 47 47 1 583.34 14 4
0.25 0.35 71 71 2 340.34000000000003 3 0
0.25 0.35 99 99 2 439.34000000000003 3 1
0.25 0.35 15 15 2 469.385 3 2
0.25 0.35 68 68 2 578.385 3 3
0.25 0.35 85 85 2 668.34 3 4
0.25 0.4 36 36 1 376.34000000000003 5 0
0.25 0.4 70 70 1 509.34000000000003 5 1
0.25 0.4 45 45 1 554.34 5 2
0.25 0.4 91 91 1 669.385 5 3
0.25 0.4 35 35 1 704.385 5 4
0.25 0.45 76 76 1 452.34000000000003 10 0
0.25 0.45 3 3 1 512.34 10 1
0.25 0.45 7 7 1 561.34 10 2
0.25 0.45 85 85 1 754.385 10 3
0.25 0.45 86 86 1 840.385 10 4
0.25 0.5 14 14.175 2 466.51500000000004 12 0
0.25 0.5 73 73.9125 2 586.2525 12 1
0.25 0.5 63 63.7875 2 650.0400000000001 12 2
0.25 0.5 39 39.4875 2 793.8725 12 3
0.25 0.5 8 8.1 2 848.485 12 4
0.25 0.55 77 77 1 543.5150000000001 4 0
0.25 0.55 56 56 1 642.2525 4 1
0.25 0.55 89 89 1 739.0400000000001 4 2
0.25 0.55 78 78 1 871.8725 4 3
0.25 0.55 53 53 1 924.8725 4 4
0.25 0.6 54 54.945 3 598.4600000000002 0 0
0.25 0.6 79 80.3825 3 722.635 0 1
0.25 0.6 16 16.279999999999998 3 755.32 0 2
0.25 0.6 66 67.155 3 939.0274999999999 0 3
0.25 0.6 58 59.015 3 998.0424999999999 0 4
0.25 0.65 83 83 1 681.4600000000002 1 0
0.25 0.65 3 3 1 725.635 1 1
0.25 0.65 89 89 1 844.32 1 2
0.25 0.65 58 58 1 997.0274999999999 1 3
0.25 0.65 56 56 1 1054.0425 1 4
0.25 0.7 29 29 1 710.4600000000002 13 0
0.25 0.7 75 75 1 800.635 13 1
0.25 0.7 41 41 1 885.32 13 2
0.25 0.7 41 41 1 1038.0275 13 3
0.25 0.7 49 49 1 1103.0425 13 4
0.25 0.75 87 87 1 797.4600000000002 17 0
0.25 0.75 86 86 1 886.635 17 1
0.25 0.75 75 75 1 961.635 17 2
0.25 0.75 77 77 1 1115.0275 17 3
0.25 0.75 18 18 1 1133.0275 17 4
0.25 0.8 91 91 1 888.4600000000002 11 0
0.25 0.8 61 61 1 949.4600000000002 11 1
0.25 0.8 1 1 1 962.635 11 2
0.25 0.8 9 9 1 1124.0275 11 3
0.25 0.8 72 72 1 1205.0275 11 4
0.25 0.85 87 89.61 3 978.0700000000002 9 0
0.25 0.85 56 57.68 3 1035.7500000000002 9 1
0.25 0.85 64 65.91999999999999 3 1101.6700000000003 9 2
0.25 0.85 85 87.55 3 1211.5774999999999 9 3
0.25 0.85 13 13.389999999999999 3 1224.9675 9 4
0.25 0.9 53 54.325 2 1032.3950000000002 6 0
0.25 0.9 99 101.475 2 1137.2250000000001 6 1
0.25 0.9 60 61.5 2 1198.7250000000001 6 2
0.25 0.9 13 13.325 2 1224.9025 6 3
0.25 0.9 53 54.325 2 1279.2925 6 4
0.25 0.95 94 94 1 1126.3950000000002 19 0
0.25 0.95 77 77 1 1214.2250000000001 19 1
0.25 0.95 40 40 1 1254.2250000000001 19 2
0.25 0.95 31 31 1 1285.2250000000001 19 3
0.25 0.95 28 28 1 1313.2250000000001 19 4
0.25 0.0 36 36 1 36 5 0
0.25 0.0 70 70 1 106 5 1
0.25 0.0 45 45 1 151 5 2
0.25 0.0 91 91 1 242 5 3
0.25 0.0 35 35 1 277 5 4
0.25 0.05 27 27 1 63 8 0
0.25 0.05 5 5 1 111 8 1
0.25 0.05 57 57 1 208 8 2
0.25 0.05 49 49 1 291 8 3
0.25 0.05 69 69 1 360 8 4
0.25 0.1 12 12 1 75 14 0
0.25 0.1 47 47 1 158 14 1
0.25 0.1 63 63 1 271 14 2
0.25 0.1 56 56 1 347 14 3
0.25 0.1 47 47 1 407 14 4
0.25 0.15 71 71 2 146 3 0
0.25 0.15 99 99 2 257 3 1
0.25 0.15 15 15 2 286 3 2
0.25 0.15 68 68 2 415 3 3
0.25 0.15 85 85 2 500 3 4
0.25 0.2 76 76 1 222 10 0
0.25 0.2 3 3 1 260 10 1
0.25 0.2 7 7 1 293 10 2
0.25 0.2 85 85 1 500 10 3
0.25 0.2 86 86 1 586 10 4
0.25 0.25 38 38 1 260 7 0
0.25 0.25 60 60 1 320 7 1
0.25 0.25 23 23 1 343 7 2
0.25 0.25 59 59 1 559 7 3
0.25 0.25 41 41 1 627 7 4
0.25 0.3 53 53 2 313 6 0
0.25 0.3 99 99 2 419 6 1
0.25 0.3 60 60 2 479 6 2
0.25 0.3 13 13 2 572 6 3
0.25 0.3 53 53 2 680 6 4
0.25 0.35 77 77 1 390 4 0
0.25 0.35 56 56 1 475 4 1
0.25 0.35 89 89 1 568 4 2
0.25 0.35 78 78 1 650 4 3
0.25 0.35 53 53 1 733 4 4
0.25 0.4 87 87 1 477 17 0
0.25 0.4 86 86 1 563 17 1
0.25 0.4 75 75 1 643 17 2
0.25 0.4 77 77 1 727 17 3
0.25 0.4 18 18 1 751 17 4
0.25 0.45 68 68.34 3 545.34 18 0
0.25 0.45 5 5.025 3 568.025 18 1
0.25 0.45 77 77.385 3 720.385 18 2
0.25 0.45 51 51.255 3 778.255 18 3
0.25 0.45 68 68.34 3 846.595 18 4
0.25 0.5 29 29 1 574.34 13 0
0.25 0.5 75 75 1 649.34 13 1
0.25 0.5 41 41 1 761.385 13 2
0.25 0.5 41 41 1 819.255 13 3
0.25 0.5 49 49 1 895.595 13 4
0.25 0.55 91 91 1 665.34 11 0
0.25 0.55 61 61 1 726.34 11 1
0.25 0.55 1 1 1 762.385 11 2
0.25 0.55 9 9 1 828.255 11 3
0.25 0.55 72 72 1 967.595 11 4
0.25 0.6 32 32 1 697.34 16 0
0.25 0.6 21 21 1 747.34 16 1
0.25 0.6 26 26 1 788.385 16 2
0.25 0.6 54 54 1 882.255 16 3
0.25 0.6 58 58 1 1025.595 16 4
0.25 0.65 54 54.945 3 752.2850000000001 0 0
0.25 0.65 79 80.3825 3 832.6675 0 1
0.25 0.65 16 16.279999999999998 3 848.9475 0 2
0.25 0.65 66 67.155 3 949.41 0 3
0.25 0.65 58 59.015 3 1084.6100000000001 0 4
0.25 0.7 15 15 1 767.2850000000001 2 0
0.25 0.7 11 11 1 843.6675 2 1
0.25 0.7 49 49 1 897.9475 2 2
0.25 0.7 31 31 1 980.41 2 3
0.25 0.7 20 20 1 1104.6100000000001 2 4
0.25 0.75 87 88.52250000000001 3 855.8075000000001 9 0
0.25 0.75 56 56.980000000000004 3 912.7875000000001 9 1
0.25 0.75 64 65.11999999999999 3 977.9075000000001 9 2
0.25 0.75 85 86.4875 3 1066.8975 9 3
0.25 0.75 13 13.2275 3 1117.8375 9 4
0.25 0.8 77 78.925 2 934.7325000000001 15 0
0.25 0.8 14 14.35 2 949.0825000000001 15 1
0.25 0.8 47 48.175 2 1026.0825000000002 15 2
0.25 0.8 40 41.0 2 1107.8975 15 3
0.25 0.8 87 89.175 2 1207.0125 15 4
0.25 0.85 83 83 1 1017.7325000000001 1 0
0.25 0.85 3 3 1 1020.7325000000001 1 1
0.25 0.85 89 89 1 1115.0825000000002 1 2
0.25 0.85 58 58 1 1173.0825000000002 1 3
0.25 0.85 56 56 1 1263.0125 1 4
0.25 0.9 14 14.35 2 1032.0825 12 0
0.25 0.9 73 74.825 2 1106.9075 12 1
0.25 0.9 63 64.575 2 1179.6575000000003 12 2
0.25 0.9 39 39.975 2 1219.6325000000002 12 3
0.25 0.9 8 8.2 2 1271.2125 12 4
0.25 0.95 94 94 1 1126.0825 19 0
0.25 0.95 77 77 1 1203.0825 19 1
0.25 0.95 40 40 1 1243.0825 19 2
0.25 0.95 31 31 1 1274.0825 19 3
0.25 0.95 28 28 1 1302.0825 19 4
0.25 0.0 27 27 1 27 8 0
0.25 0.0 5 5 1 32 8 1
0.25 0.0 57 57 1 89 8 2
0.25 0.0 49 49 1 138 8 3
0.25 0.0 69 69 1 207 8 4
0.25 0.05 38 38 1 65 7 0
0.25 0.05 60 60 1 125 7 1
0.25 0.05 23 23 1 148 7 2
0.25 0.05 59 59 1 207 7 3
0.25 0.05 41 41 1 248 7 4
0.25 0.1 15 15 1 80 2 0
0.25 0.1 11 11 1 136 2 1
0.25 0.1 49 49 1 197 2 2
0.25 0.1 31 31 1 238 2 3
0.25 0.1 20 20 1 268 2 4
0.25 0.15 12 12 1 92 14 0
0.25 0.15 47 47 1 183 14 1
0.25 0.15 63 63 1 260 14 2
0.25 0.15 56 56 1 316 14 3
0.25 0.15 47 47 1 363 14 4
0.25 0.2 71 71 2 163 3 0
0.25 0.2 99 99 2 282 3 1
0.25 0.2 15 15 2 297 3 2
0.25 0.2 68 68 2 384 3 3
0.25 0.2 85 85 2 469 3 4
0.25 0.25 32 32 1 195 16 0
0.25 0.25 21 21 1 303 16 1
0.25 0.25 26 26 1 329 16 2
0.25 0.25 54 54 1 438 16 3
0.25 0.25 58 58 1 527 16 4
0.25 0.3 68 68.34 3 263.34000000000003 18 0
0.25 0.3 5 5.025 3 308.025 18 1
0.25 0.3 77 77.385 3 406.385 18 2
0.25 0.3 51 51.255 3 489.255 18 3
0.25 0.3 68 68.34 3 595.34 18 4
0.25 0.35 14 14 2 277.34000000000003 12 0
0.25 0.35 73 73 2 381.025 12 1
0.25 0.35 63 63 2 469.385 12 2
0.25 0.35 39 39 2 528.255 12 3
0.25 0.35 8 8 2 603.34 12 4
0.25 0.4 29 29 1 306.34000000000003 13 0
0.25 0.4 75 75 1 456.025 13 1
0.25 0.4 41 41 1 510.385 13 2
0.25 0.4 41 41 1 569.255 13 3
0.25 0.4 49 49 1 652.34 13 4
0.25 0.45 76 76 1 382.34000000000003 10 0
0.25 0.45 3 3 1 459.025 10 1
0.25 0.45 7 7 1 517.385 10 2
0.25 0.45 85 85 1 654.255 10 3
0.25 0.45 86 86 1 740.255 10 4
0.25 0.5 77 77.9625 2 460.3025 15 0
0.25 0.5 14 14.175 2 474.4775 15 1
0.25 0.5 47 47.5875 2 564.9725 15 2
0.25 0.5 40 40.5 2 694.755 15 3
0.25 0.5 87 88.0875 2 828.3425 15 4
0.25 0.55 36 36 1 496.3025 5 0
0.25 0.55 70 70 1 566.3025 5 1
0.25 0.55 45 45 1 611.3025 5 2
0.25 0.55 91 91 1 785.755 5 3
0.25 0.55 35 35 1 863.3425 5 4
0.25 0.6 77 77 1 573.3025 4 0
0.25 0.6 56 56 1 629.3025 4 1
0.25 0.6 89 89 1 718.3025 4 2
0.25 0.6 78 78 1 863.755 4 3
0.25 0.6 53 53 1 916.755 4 4
0.25 0.65 53 53.6625 2 626.965 6 0
0.25 0.65 99 100.2375 2 729.54 6 1
0.25 0.65 60 60.75 2 790.29 6 2
0.25 0.65 13 13.1625 2 876.9175 6 3
0.25 0.65 53 53.6625 2 970.4175 6 4
0.25 0.7 54 54.945 3 681.9100000000001 0 0
0.25 0.7 79 80.3825 3 809.9224999999999 0 1
0.25 0.7 16 16.279999999999998 3 826.2024999999999 0 2
0.25 0.7 66 67.155 3 944.0725 0 3
0.25 0.7 58 59.015 3 1029.4325000000001 0 4
0.25 0.75 83 83 1 764.9100000000001 1 0
0.25 0.75 3 3 1 812.9224999999999 1 1
0.25 0.75 89 89 1 915.2024999999999 1 2
0.25 0.75 58 58 1 1002.0725 1 3
0.25 0.75 56 56 1 1085.4325000000001 1 4
0.25 0.8 87 87 1 851.9100000000001 17 0
0.25 0.8 86 86 1 937.9100000000001 17 1
0.25 0.8 75 75 1 1012.9100000000001 17 2
0.25 0.8 77 77 1 1089.91 17 3
0.25 0.8 18 18 1 1107.91 17 4
0.25 0.85 87 89.61 3 941.5200000000001 9 0
0.25 0.85 56 57.68 3 999.2 9 1
0.25 0.85 64 65.91999999999999 3 1078.8300000000002 9 2
0.25 0.85 85 87.55 3 1177.46 9 3
0.25 0.85 13 13.389999999999999 3 1190.8500000000001 9 4
0.25 0.9 94 94 1 1035.52 19 0
0.25 0.9 77 77 1 1112.52 19 1
0.25 0.9 40 40 1 1152.52 19 2
0.25 0.9 31 31 1 1208.46 19 3
0.25 0.9 28 28 1 1236.46 19 4
0.25 0.95 91 91 1 1126.52 11 0
0.25 0.95 61 61 1 1187.52 11 1
0.25 0.95 1 1 1 1188.52 11 2
0.25 0.95 9 9 1 1217.46 11 3
0.25 0.95 72 72 1 1308.46 11 4
0.25 0.0 32 32 1 32 16 0
0.25 0.0 21 21 1 53 16 1
0.25 0.0 26 26 1 79 16 2
0.25 0.0 54 54 1 133 16 3
0.25 0.0 58 58 1 191 16 4
0.25 0.05 12 12 1 44 14 0
0.25 0.05 47 47 1 100 14 1
0.25 0.05 63 63 1 163 14 2
0.25 0.05 56 56 1 219 14 3
0.25 0.05 47 47 1 266 14 4
0.25 0.1 36 36 1 80 5 0
0.25 0.1 70 70 1 170 5 1
0.25 0.1 45 45 1 215 5 2
0.25 0.1 91 91 1 310 5 3
0.25 0.1 35 35 1 345 5 4
0.25 0.15 27 27 1 107 8 0
0.25 0.15 5 5 1 175 8 1
0.25 0.15 57 57 1 272 8 2
0.25 0.15 49 49 1 359 8 3
0.25 0.15 69 69 1 428 8 4
0.25 0.2 29 29 1 136 13 0
0.25 0.2 75 75 1 250 13 1
0.25 0.2 41 41 1 313 13 2
0.25 0.2 41 41 1 400 13 3
0.25 0.2 49 49 1 477 13 4
0.25 0.25 77 77 1 213 4 0
0.25 0.25 56 56 1 306 4 1
0.25 0.25 89 89 1 402 4 2
0.25 0.25 78 78 1 480 4 3
0.25 0.25 53 53 1 533 4 4
0.25 0.3 54 54.27 3 267.27 0 0
0.25 0.3 79 79.395 3 385.395 0 1
0.25 0.3 16 16.08 3 418.08 0 2
0.25 0.3 66 66.33 3 546.33 0 3
0.25 0.3 58 58.29 3 604.62 0 4
0.25 0.35 68 68.34 3 335.61 18 0
0.25 0.35 5 5.025 3 390.41999999999996 18 1
0.25 0.35 77 77.385 3 495.465 18 2
0.25 0.35 51 51.255 3 597.585 18 3
0.25 0.35 68 68.34 3 672.96 18 4
0.25 0.4 14 14 2 349.61 12 0
0.25 0.4 73 73 2 463.41999999999996 12 1
0.25 0.4 63 63 2 558.4649999999999 12 2
0.25 0.4 39 39 2 636.585 12 3
0.25 0.4 8 8 2 680.96 12 4
0.25 0.45 87 87 1 436.61 17 0
0.25 0.45 86 86 1 549.42 17 1
0.25 0.45 75 75 1 633.4649999999999 17 2
0.25 0.45 77 77 1 713.585 17 3
0.25 0.45 18 18 1 731.585 17 4
0.25 0.5 71 71.8875 2 508.4975 3 0
0.25 0.5 99 100.2375 2 649.6574999999999 3 1
0.25 0.5 15 15.1875 2 664.8449999999999 3 2
0.25 0.5 68 68.85 2 782.4350000000001 3 3
0.25 0.5 85 86.0625 2 868.4975000000001 3 4
0.25 0.55 77 77.9625 2 586.46 15 0
0.25 0.55 14 14.175 2 663.8324999999999 15 1
0.25 0.55 47 47.5875 2 712.4324999999999 15 2
0.25 0.55 40 40.5 2 822.9350000000001 15 3
0.25 0.55 87 88.0875 2 956.585 15 4
0.25 0.6 76 76 1 662.46 10 0
0.25 0.6 3 3 1 666.8324999999999 10 1
0.25 0.6 7 7 1 719.4324999999999 10 2
0.25 0.6 85 85 1 907.9350000000001 10 3
0.25 0.6 86 86 1 1042.585 10 4
0.25 0.65 87 88.52250000000001 3 750.9825000000001 9 0
0.25 0.65 56 56.980000000000004 3 807.9625000000001 9 1
0.25 0.65 64 65.11999999999999 3 873.0825000000001 9 2
0.25 0.65 85 86.4875 3 994.4225 9 3
0.25 0.65 13 13.2275 3 1055.8125 9 4
0.25 0.7 83 83 1 833.9825000000001 1 0
0.25 0.7 3 3 1 836.9825000000001 1 1
0.25 0.7 89 89 1 962.0825000000001 1 2
0.25 0.7 58 58 1 1052.4225000000001 1 3
0.25 0.7 56 56 1 1111.8125 1 4
0.25 0.75 38 38 1 871.9825000000001 7 0
0.25 0.75 60 60 1 931.9825000000001 7 1
0.25 0.75 23 23 1 985.0825000000001 7 2
0.25 0.75 59 59 1 1111.4225000000001 7 3
0.25 0.75 41 41 1 1152.8125 7 4
0.25 0.8 15 15 1 886.9825000000001 2 0
0.25 0.8 11 11 1 942.9825000000001 2 1
0.25 0.8 49 49 1 1034.0825 2 2
0.25 0.8 31 31 1 1142.4225000000001 2 3
0.25 0.8 20 20 1 1172.8125 2 4
0.25 0.85 53 54.325 2 941.3075000000001 6 0
0.25 0.85 99 101.475 2 1044.4575 6 1
0.25 0.85 60 61.5 2 1105.9575 6 2
0.25 0.85 13 13.325 2 1155.7475000000002 6 3
0.25 0.85 53 54.325 2 1227.1375 6 4
0.25 0.9 94 94 1 1035.3075000000001 19 0
0.25 0.9 77 77 1 1121.4575 19 1
0.25 0.9 40 40 1 1161.4575 19 2
0.25 0.9 31 31 1 1192.4575 19 3
0.25 0.9 28 28 1 1255.1375 19 4
0.25 0.95 91 91 1 1126.3075000000001 11 0
0.25 0.95 61 61 1 1187.3075000000001 11 1
0.25 0.95 1 1 1 1188.3075000000001 11 2
0.25 0.95 9 9 1 1201.4575 11 3
0.25 0.95 72 72 1 1327.1375 11 4
0.25 0.0 54 54.27 3 54.27 0 0
0.25 0.0 79 79.395 3 133.665 0 1
0.25 0.0 16 16.08 3 149.745 0 2
0.25 0.0 66 66.33 3 216.075 0 3
0.25 0.0 58 58.29 3 274.365 0 4
0.25 0.05 32 32 1 86.27000000000001 16 0
0.25 0.05 21 21 1 154.665 16 1
0.25 0.05 26 26 1 180.665 16 2
0.25 0.05 54 54 1 270.075 16 3
0.25 0.05 58 58 1 332.365 16 4
0.25 0.1 27 27 1 113.27000000000001 8 0
0.25 0.1 5 5 1 159.665 8 1
0.25 0.1 57 57 1 237.665 8 2
0.25 0.1 49 49 1 319.075 8 3
0.25 0.1 69 69 1 401.365 8 4
0.25 0.15 12 12 1 125.27000000000001 14 0
0.25 0.15 47 47 1 206.665 14 1
0.25 0.15 63 63 1 300.66499999999996 14 2
0.25 0.15 56 56 1 375.075 14 3
0.25 0.15 47 47 1 448.365 14 4
0.25 0.2 53 53 2 178.27 6 0
0.25 0.2 99 99 2 305.66499999999996 6 1
0.25 0.2 60 60 2 365.66499999999996 6 2
0.25 0.2 13 13 2 388.075 6 3
0.25 0.2 53 53 2 501.365 6 4
0.25 0.25 76 76 1 254.27 10 0
0.25 0.25 3 3 1 308.66499999999996 10 1
0.25 0.25 7 7 1 372.66499999999996 10 2
0.25 0.25 85 85 1 473.075 10 3
0.25 0.25 86 86 1 587.365 10 4
0.25 0.3 29 29 1 283.27 13 0
0.25 0.3 75 75 1 383.66499999999996 13 1
0.25 0.3 41 41 1 424.66499999999996 13 2
0.25 0.3 41 41 1 514.075 13 3
0.25 0.3 49 49 1 636.365 13 4
0.25 0.35 71 71 2 354.27 3 0
0.25 0.35 99 99 2 482.66499999999996 3 1
0.25 0.35 15 15 2 497.66499999999996 3 2
0.25 0.35 68 68 2 582.075 3 3
0.25 0.35 85 85 2 721.365 3 4
0.25 0.4 77 77 2 431.27 15 0
0.25 0.4 14 14 2 496.66499999999996 15 1
0.25 0.4 47 47 2 544.665 15 2
0.25 0.4 40 40 2 622.075 15 3
0.25 0.4 87 87 2 808.365 15 4
0.25 0.45 68 68.34 3 499.61 18 0
0.25 0.45 5 5.025 3 504.635 18 1
0.25 0.45 77 77.385 3 622.05 18 2
0.25 0.45 51 51.255 3 673.33 18 3
0.25 0.45 68 68.34 3 876.705 18 4
0.25 0.5 38 38 1 537.61 7 0
0.25 0.5 60 60 1 597.61 7 1
0.25 0.5 23 23 1 645.05 7 2
0.25 0.5 59 59 1 732.33 7 3
0.25 0.5 41 41 1 917.705 7 4
0.25 0.55 15 15 1 552.61 2 0
0.25 0.55 11 11 1 608.61 2 1
0.25 0.55 49 49 1 694.05 2 2
0.25 0.55 31 31 1 763.33 2 3
0.25 0.55 20 20 1 937.705 2 4
0.25 0.6 36 36 1 588.61 5 0
0.25 0.6 70 70 1 678.61 5 1
0.25 0.6 45 45 1 739.05 5 2
0.25 0.6 91 91 1 854.33 5 3
0.25 0.6 35 35 1 972.705 5 4
0.25 0.65 77 77 1 665.61 4 0
0.25 0.65 56 56 1 734.61 4 1
0.25 0.65 89 89 1 828.05 4 2
0.25 0.65 78 78 1 932.33 4 3
0.25 0.65 53 53 1 1025.705 4 4
0.25 0.7 87 87 1 752.61 17 0
0.25 0.7 86 86 1 838.61 17 1
0.25 0.7 75 75 1 913.61 17 2
0.25 0.7 77 77 1 1009.33 17 3
0.25 0.7 18 18 1 1043.705 17 4
0.25 0.75 83 83 1 835.61 1 0
0.25 0.75 3 3 1 841.61 1 1
0.25 0.75 89 89 1 1002.61 1 2
0.25 0.75 58 58 1 1067.33 1 3
0.25 0.75 56 56 1 1123.33 1 4
0.25 0.8 14 14.35 2 849.96 12 0
0.25 0.8 73 74.825 2 924.7850000000001 12 1
0.25 0.8 63 64.575 2 1067.185 12 2
0.25 0.8 39 39.975 2 1107.3049999999998 12 3
0.25 0.8 8 8.2 2 1131.53 12 4
0.25 0.85 91 91 1 940.96 11 0
0.25 0.85 61 61 1 1001.96 11 1
0.25 0.85 1 1 1 1068.185 11 2
0.25 0.85 9 9 1 1116.3049999999998 11 3
0.25 0.85 72 72 1 1203.53 11 4
0.25 0.9 87 89.61 3 1030.57 9 0
0.25 0.9 56 57.68 3 1088.25 9 1
